Date,Close,High,Low,Open,Volume,MA_10,MA_50,Daily_Return,Volatility,Target
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,,,,,
2014-03-12,822.4667358398438,826.353701692904,812.4852242241453,812.4852242241453,1669788,835.2598937988281,835.3144409179688,0.012920295403938242,0.020664633224081207,0
2014-03-13,811.1835327148438,830.9767618632034,806.3909058753227,810.6174722503594,2019884,834.0296691894531,835.3150476074219,-0.013718734914523245,0.02109633722904436,0
2014-03-14,807.4097900390625,815.3157493720901,801.6548420279889,807.9569633907173,2161246,828.8898376464844,835.1369580078125,-0.004652144087727517,0.014287393498469704,0
2014-03-18,800.7868041992188,812.0325562567375,794.0884225901065,805.8813479582618,2565842,824.4349365234375,834.4105310058594,-0.008202756421275659,0.01391825221916316,0
2014-03-19,769.6159057617188,783.0503997931377,759.6721183317873,783.0503997931377,8652662,816.8402893066407,832.9295971679687,-0.0389253397708903,0.017284142227710828,1
2014-03-20,795.5787963867188,801.1261684250128,759.0490691293518,769.0871950427941,5728956,811.4174072265625,832.2199328613282,0.03373486752369481,0.021728430045694774,1
2014-03-21,802.6737060546875,809.4664313527526,786.8240136925357,801.918958799347,4680776,807.1247680664062,831.4525183105469,0.00891792202129027,0.02226426348067934,1
2014-03-24,812.3346557617188,814.3535497582036,802.3530477856696,806.4287021334311,2183014,804.2605102539062,830.8082543945312,0.012035961355351787,0.022899915152496772,0
2014-03-25,810.0891723632812,819.6556319928923,803.8059374515932,809.0891689653596,2249968,804.4114868164063,829.8256262207032,-0.002764234398361265,0.019280702108192972,0
2014-03-26,790.0315551757812,814.5608368029251,787.7862008994324,810.6173014908509,3192350,802.2170654296875,827.7799829101563,-0.024759764568863085,0.020757281455876426,1
2014-03-27,790.3148193359375,798.1453230968165,779.2955264458726,792.8432045334832,5012476,799.0018737792968,826.0564318847656,0.0003585479064733832,0.02008689098577821,1
2014-03-28,793.2772216796875,801.1077252642724,784.9561139019089,791.3525791264827,2971162,797.2112426757812,824.1898388671875,0.0037483826334412385,0.01988676412848047,1
2014-03-31,804.9945068359375,809.4475340126023,785.6918828775027,793.9941025812996,2683268,796.9697143554688,822.5824536132812,0.014770731890473066,0.020542164733142486,1
2014-04-01,821.4290771484375,824.5612963803546,809.4285785275325,809.4663527395244,2755932,799.0339416503906,822.3378149414062,0.020415754608185788,0.021269839921954792,0
2014-04-02,819.7498779296875,830.9767435613635,815.5233116477389,826.4482599452253,3763016,804.0473388671875,821.1167028808594,-0.002044241268618463,0.015711078607154618,0
2014-04-03,817.5797729492188,823.4290628087678,810.4474499088469,819.976131776822,1581194,806.2474365234375,820.2884118652344,-0.0026472769791066053,0.01259120517062746,0
2014-04-04,807.1456298828125,825.3161334158226,803.8058363857806,819.6555289342326,1694656,806.69462890625,819.2985241699218,-0.012762232398151996,0.013269576898420609,1
2014-04-07,812.7874755859375,817.3725290870576,800.2963695381363,803.8437375193611,2594986,806.7399108886718,818.584208984375,0.00698987331932166,0.012878029861373428,0
2014-04-09,807.7304077148438,815.8817142381988,794.371419274472,812.1079782796503,3350500,806.5040344238281,817.7970031738281,-0.006221882131547507,0.013010128493080992,0
2014-04-10,802.3527221679688,810.8436268915157,798.2205002956185,807.7302951595485,2152886,807.7361511230469,817.0162097167969,-0.00665777281071922,0.010163520070352042,1
2014-04-11,816.6744995117188,820.750061957994,792.4848073487893,799.2775342689218,2340742,810.372119140625,816.6520434570313,0.017849727368098645,0.01136157206073947,1
2014-04-15,850.1286010742188,852.1098129954881,820.4293093665923,823.0520381502035,3597244,816.0572570800781,816.9762084960937,0.04096381310118269,0.016459876947090935,0
2014-04-16,828.8257446289062,854.3739216511256,824.2594867283179,854.3739216511256,3475910,818.440380859375,816.8154479980469,-0.025058392834206855,0.01900964031232613,1
2014-04-17,838.8638305664062,840.411099348951,808.5984829543328,837.7694838593046,7681438,820.1838562011719,816.6784619140625,0.012111213970548595,0.018337821210321664,0
2014-04-21,838.4300537109375,846.4114709532247,834.4865168043045,837.7696497077895,1842594,822.0518737792969,816.8845056152344,-0.0005171004395025935,0.018304393306316856,0
2014-04-22,838.1658935546875,849.0530697637981,837.7318585106309,843.0339775406482,1486274,824.1104858398437,817.4105627441406,-0.00031506522825708316,0.01824763812337305,0
2014-04-23,835.4110107421875,846.7887907041392,830.6372703908461,842.0716195537033,1938992,826.9370239257812,817.5566076660157,-0.0032867989901336214,0.017593370721642135,0
2014-04-24,835.4110107421875,835.4110107421875,835.4110107421875,835.4110107421875,0,829.1993774414062,817.8471911621094,0.0,0.017581948179092588,0
2014-04-25,832.203125,843.4299895136605,827.6557547285258,840.4110007368779,3160448,831.6466491699218,818.3064477539062,-0.0038398892292998976,0.017460549525698324,0
2014-04-28,826.9577026367188,838.788310109713,822.7122494959297,832.2031589977795,2550766,834.1071472167969,819.0445861816406,-0.006303055354762388,0.017438814077669798,1
2014-04-29,828.05224609375,832.618504743499,821.5047755073521,824.9389130504444,1846180,835.244921875,819.7431030273438,0.001323578525892266,0.016657657025226716,0
2014-04-30,826.1463012695312,832.3352838478892,823.0518560464675,824.5991247241145,2397378,832.8466918945312,820.3752026367188,-0.0023017204931329305,0.009236673892461827,1
